Date;file;Day;Month;Year;Hour;Minute;Second;TFSD_avian;TFSD_human
2022-12-02 00:40:00;Basamba\SWIFT4_20221202_004000.wav;2;12;2022;0;40;0;0.09;0.87
2022-12-02 00:40:00;Basamba\SWIFT17_20221202_004000.wav;2;12;2022;0;40;0;0.77;0.03
2022-12-02 00:40:00;Basamba\SWIFT14_20221202_004000.wav;2;12;2022;0;40;0;0.56;0.16
2022-12-02 00:40:00;Basamba\SWIFT11_20221202_004000.wav;2;12;2022;0;40;0;0.38;0.41
2022-12-02 00:40:00;Basamba\SWIFT20_20221202_004000.wav;2;12;2022;0;40;0;0.71;0.21
2022-12-02 00:40:00;Basamba\SWIFT 16_20221202_004000.wav;2;12;2022;0;40;0;0.56;0.15
2022-12-02 00:40:00;Basamba\SWIFT8_20221202_004000.wav;2;12;2022;0;40;0;0.82;0.05
2022-12-02 00:40:00;Basamba\SWIFT7_20221202_004000.wav;2;12;2022;0;40;0;0.56;0.26
2022-12-02 00:40:00;Basamba\SWIFT 03_20221202_004000.wav;2;12;2022;0;40;0;0.58;0.1
2022-12-02 00:40:00;Basamba\SWIFT 12_20221202_004000.wav;2;12;2022;0;40;0;0.6;0.12
2022-12-02 00:40:00;Basamba\SWIFT5_20221202_004000.wav;2;12;2022;0;40;0;0.6;0.21
2022-12-02 00:40:00;Basamba\SWIFT 19_20221202_004000.wav;2;12;2022;0;40;0;0.27;0.66
2022-12-02 00:40:00;Basamba\SWIFT6_20221202_004000.wav;2;12;2022;0;40;0;0.4;0.45
2022-12-02 00:40:00;Basamba\SWIFT 02_20221202_004000.wav;2;12;2022;0;40;0;0.52;0.24
2022-12-02 00:40:00;Basamba\SWIFT18_20221202_004000.wav;2;12;2022;0;40;0;0.47;0.32
2022-12-02 00:40:00;Basamba\SWIFT9_20221202_004000.wav;2;12;2022;0;40;0;0.52;0.17
2022-12-02 00:40:00;Basamba\SWIFT1_20221202_004000.wav;2;12;2022;0;40;0;0.49;0.34
2022-12-02 00:40:00;Basamba\SWIFT15_20221202_004000.wav;2;12;2022;0;40;0;0.57;0.15
2022-12-02 00:40:00;Basamba\SWIFT10_20221202_004000.wav;2;12;2022;0;40;0;0.61;0.15
2022-12-02 02:40:00;Basamba\SWIFT17_20221202_024000.wav;2;12;2022;2;40;0;0.77;0.03
2022-12-02 02:40:00;Basamba\SWIFT 16_20221202_024000.wav;2;12;2022;2;40;0;0.44;0.27
2022-12-02 02:40:00;Basamba\SWIFT20_20221202_024000.wav;2;12;2022;2;40;0;0.74;0.2
2022-12-02 02:40:00;Basamba\SWIFT5_20221202_024000.wav;2;12;2022;2;40;0;0.57;0.22
2022-12-02 02:40:00;Basamba\SWIFT 03_20221202_024000.wav;2;12;2022;2;40;0;0.52;0.16
2022-12-02 02:40:00;Basamba\SWIFT7_20221202_024000.wav;2;12;2022;2;40;0;0.42;0.37
2022-12-02 02:40:00;Basamba\SWIFT1_20221202_024000.wav;2;12;2022;2;40;0;0.48;0.27
2022-12-02 02:40:00;Basamba\SWIFT18_20221202_024000.wav;2;12;2022;2;40;0;0.32;0.5
2022-12-02 02:40:00;Basamba\SWIFT6_20221202_024000.wav;2;12;2022;2;40;0;0.32;0.57
2022-12-02 02:40:00;Basamba\SWIFT15_20221202_024000.wav;2;12;2022;2;40;0;0.58;0.24
2022-12-02 02:40:00;Basamba\SWIFT 19_20221202_024000.wav;2;12;2022;2;40;0;0.28;0.64
2022-12-02 02:40:00;Basamba\SWIFT 12_20221202_024000.wav;2;12;2022;2;40;0;0.69;0.1
2022-12-02 02:40:00;Basamba\SWIFT8_20221202_024000.wav;2;12;2022;2;40;0;0.75;0.09
2022-12-02 02:40:00;Basamba\SWIFT14_20221202_024000.wav;2;12;2022;2;40;0;0.56;0.07
2022-12-02 02:40:00;Basamba\SWIFT 02_20221202_024000.wav;2;12;2022;2;40;0;0.44;0.32
2022-12-02 02:40:00;Basamba\SWIFT9_20221202_024000.wav;2;12;2022;2;40;0;0.48;0.26
2022-12-02 02:40:00;Basamba\SWIFT10_20221202_024000.wav;2;12;2022;2;40;0;0.64;0.22
2022-12-02 02:40:00;Basamba\SWIFT11_20221202_024000.wav;2;12;2022;2;40;0;0.27;0.54
2022-12-02 02:40:00;Basamba\SWIFT4_20221202_024000.wav;2;12;2022;2;40;0;0.09;0.88
2022-12-02 04:40:00;Basamba\SWIFT14_20221202_044000.wav;2;12;2022;4;40;0;0.48;0.19
2022-12-02 04:40:00;Basamba\SWIFT 03_20221202_044000.wav;2;12;2022;4;40;0;0.25;0.66
2022-12-02 04:40:00;Basamba\SWIFT9_20221202_044000.wav;2;12;2022;4;40;0;0.41;0.54
2022-12-02 04:40:00;Basamba\SWIFT1_20221202_044000.wav;2;12;2022;4;40;0;0.15;0.81
2022-12-02 04:40:00;Basamba\SWIFT10_20221202_044000.wav;2;12;2022;4;40;0;0.49;0.41
2022-12-02 04:40:00;Basamba\SWIFT 12_20221202_044000.wav;2;12;2022;4;40;0;0.82;0.15
2022-12-02 04:40:00;Basamba\SWIFT20_20221202_044000.wav;2;12;2022;4;40;0;0.44;0.54
2022-12-02 04:40:00;Basamba\SWIFT 19_20221202_044000.wav;2;12;2022;4;40;0;0.16;0.82
2022-12-02 04:40:00;Basamba\SWIFT5_20221202_044000.wav;2;12;2022;4;40;0;0.24;0.7
2022-12-02 04:40:00;Basamba\SWIFT15_20221202_044000.wav;2;12;2022;4;40;0;0.43;0.54
2022-12-02 04:40:00;Basamba\SWIFT18_20221202_044000.wav;2;12;2022;4;40;0;0.08;0.87
2022-12-02 04:40:00;Basamba\SWIFT17_20221202_044000.wav;2;12;2022;4;40;0;0.9;0.05
2022-12-02 04:40:00;Basamba\SWIFT7_20221202_044000.wav;2;12;2022;4;40;0;0.33;0.6
2022-12-02 04:40:00;Basamba\SWIFT8_20221202_044000.wav;2;12;2022;4;40;0;0.59;0.3
