Date;file;Day;Month;Year;Hour;Minute;Second;TFSD_avian;TFSD_human
2022-12-05 00:40:00;Basamba\SWIFT9_20221205_004000.wav;5;12;2022;0;40;0;0.35;0.46
2022-12-05 00:40:00;Basamba\SWIFT15_20221205_004000.wav;5;12;2022;0;40;0;0.52;0.26
2022-12-05 00:40:00;Basamba\SWIFT 02_20221205_004000.wav;5;12;2022;0;40;0;0.42;0.41
2022-12-05 00:40:00;Basamba\SWIFT 19_20221205_004000.wav;5;12;2022;0;40;0;0.17;0.79
2022-12-05 00:40:00;Basamba\SWIFT18_20221205_004000.wav;5;12;2022;0;40;0;0.43;0.4
2022-12-05 00:40:00;Basamba\SWIFT6_20221205_004000.wav;5;12;2022;0;40;0;0.06;0.9
2022-12-05 00:40:00;Basamba\SWIFT8_20221205_004000.wav;5;12;2022;0;40;0;0.76;0.12
2022-12-05 00:40:00;Basamba\SWIFT11_20221205_004000.wav;5;12;2022;0;40;0;0.3;0.51
2022-12-05 00:40:00;Basamba\SWIFT4_20221205_004000.wav;5;12;2022;0;40;0;0.64;0.06
2022-12-05 00:40:00;Basamba\SWIFT 03_20221205_004000.wav;5;12;2022;0;40;0;0.46;0.19
2022-12-05 00:40:00;Basamba\SWIFT17_20221205_004000.wav;5;12;2022;0;40;0;0.71;0.04
2022-12-05 00:40:00;Basamba\SWIFT5_20221205_004000.wav;5;12;2022;0;40;0;0.38;0.37
2022-12-05 00:40:00;Basamba\SWIFT20_20221205_004000.wav;5;12;2022;0;40;0;0.36;0.58
2022-12-05 00:40:00;Basamba\SWIFT10_20221205_004000.wav;5;12;2022;0;40;0;0.46;0.26
2022-12-05 00:40:00;Basamba\SWIFT 12_20221205_004000.wav;5;12;2022;0;40;0;0.71;0.12
2022-12-05 00:40:00;Basamba\SWIFT14_20221205_004000.wav;5;12;2022;0;40;0;0.52;0.15
2022-12-05 00:40:00;Basamba\SWIFT1_20221205_004000.wav;5;12;2022;0;40;0;0.33;0.51
2022-12-05 00:40:00;Basamba\SWIFT 16_20221205_004000.wav;5;12;2022;0;40;0;0.45;0.25
2022-12-05 00:40:00;Basamba\SWIFT7_20221205_004000.wav;5;12;2022;0;40;0;0.37;0.46
2022-12-05 02:40:00;Basamba\SWIFT17_20221205_024000.wav;5;12;2022;2;40;0;0.66;0.04
2022-12-05 02:40:00;Basamba\SWIFT 16_20221205_024000.wav;5;12;2022;2;40;0;0.53;0.17
2022-12-05 02:40:00;Basamba\SWIFT 02_20221205_024000.wav;5;12;2022;2;40;0;0.48;0.37
2022-12-05 02:40:00;Basamba\SWIFT15_20221205_024000.wav;5;12;2022;2;40;0;0.46;0.34
2022-12-05 02:40:00;Basamba\SWIFT4_20221205_024000.wav;5;12;2022;2;40;0;0.58;0.07
2022-12-05 02:40:00;Basamba\SWIFT7_20221205_024000.wav;5;12;2022;2;40;0;0.41;0.43
2022-12-05 02:40:00;Basamba\SWIFT10_20221205_024000.wav;5;12;2022;2;40;0;0.49;0.15
2022-12-05 02:40:00;Basamba\SWIFT11_20221205_024000.wav;5;12;2022;2;40;0;0.36;0.4
2022-12-05 02:40:00;Basamba\SWIFT5_20221205_024000.wav;5;12;2022;2;40;0;0.44;0.32
2022-12-05 02:40:00;Basamba\SWIFT 03_20221205_024000.wav;5;12;2022;2;40;0;0.49;0.19
2022-12-05 02:40:00;Basamba\SWIFT9_20221205_024000.wav;5;12;2022;2;40;0;0.44;0.31
2022-12-05 02:40:00;Basamba\SWIFT18_20221205_024000.wav;5;12;2022;2;40;0;0.37;0.45
2022-12-05 02:40:00;Basamba\SWIFT14_20221205_024000.wav;5;12;2022;2;40;0;0.51;0.11
2022-12-05 02:40:00;Basamba\SWIFT6_20221205_024000.wav;5;12;2022;2;40;0;0.06;0.89
2022-12-05 02:40:00;Basamba\SWIFT8_20221205_024000.wav;5;12;2022;2;40;0;0.75;0.08
2022-12-05 02:40:00;Basamba\SWIFT 19_20221205_024000.wav;5;12;2022;2;40;0;0.21;0.72
2022-12-05 02:40:00;Basamba\SWIFT1_20221205_024000.wav;5;12;2022;2;40;0;0.41;0.4
2022-12-05 02:40:00;Basamba\SWIFT 12_20221205_024000.wav;5;12;2022;2;40;0;0.72;0.12
2022-12-05 02:40:00;Basamba\SWIFT20_20221205_024000.wav;5;12;2022;2;40;0;0.34;0.61
2022-12-05 04:40:00;Basamba\SWIFT 12_20221205_044000.wav;5;12;2022;4;40;0;0.79;0.19
2022-12-05 04:40:00;Basamba\SWIFT1_20221205_044000.wav;5;12;2022;4;40;0;0.21;0.72
2022-12-05 04:40:00;Basamba\SWIFT 02_20221205_044000.wav;5;12;2022;4;40;0;0.44;0.52
