Date;file;Day;Month;Year;Hour;Minute;Second;ACI;ADI;AEI;BI;NDSI;ratioBA;antroPh;bioPh;Ht;M;AR;ROItotal;ROIcover
2022-05-27 02:40:00;Basamba\SWIFT7_20220527_024000.wav;27;5;2022;2;40;0;302.78;1.15;0.8;0.23;0.77;7.61;0.07;0.54;0.57;0.01;[1.];7929;5.87
2022-05-27 02:40:00;Basamba\SWIFT1_20220527_024000.wav;27;5;2022;2;40;0;336.83;1.11;0.86;0.22;0.98;109.19;0.06;6.5;0.79;0.02;[1.];4924;7.46
2022-05-27 02:40:00;Basamba\SWIFT17_20220527_024000.wav;27;5;2022;2;40;0;318.87;0.19;0.94;0.49;0.96;43.56;0.07;3.21;0.74;0.02;[1.];6379;6.04
2022-05-27 02:40:00;Basamba\SWIFT14_20220527_024000.wav;27;5;2022;2;40;0;331.33;0.78;0.88;0.16;0.91;20.39;0.13;2.73;0.72;0.02;[1.];5438;5.66
2022-05-27 02:40:00;Basamba\SWIFT 19_20220527_024000.wav;27;5;2022;2;40;0;310.12;0.37;0.93;0.2;0.95;41.61;0.05;2.03;0.67;0.01;[1.];6387;7.67
2022-05-27 02:40:00;Basamba\SWIFT 02_20220527_024000.wav;27;5;2022;2;40;0;332.14;0.86;0.88;0.32;0.98;114.72;0.03;3.42;0.73;0.02;[1.];7312;13.22
2022-05-27 02:40:00;Basamba\SWIFT 03_20220527_024000.wav;27;5;2022;2;40;0;316.47;1.24;0.77;0.12;0.78;7.96;0.09;0.73;0.52;0.01;[1.];6308;7.28
2022-05-27 02:40:00;Basamba\SWIFT20_20220527_024000.wav;27;5;2022;2;40;0;303.78;1.09;0.86;0.26;0.84;11.46;0.05;0.6;0.52;0.01;[1.];10821;7.85
2022-05-27 02:40:00;Basamba\SWIFT13_20220527_024000.wav;27;5;2022;2;40;0;314.55;0.2;0.92;0.17;0.97;63.2;0.04;2.53;0.69;0.02;[1.];6696;4.89
2022-05-27 02:40:00;Basamba\SWIFT12_20220527_024000.wav;27;5;2022;2;40;0;314.52;2.19;0.32;0.12;0.86;13.74;0.02;0.32;0.46;0.01;[1.];6129;8.15
2022-05-27 02:40:00;Basamba\SWIFT8_20220527_024000.wav;27;5;2022;2;40;0;316.5;0.74;0.89;0.2;0.91;21.69;0.03;0.66;0.53;0.01;[1.];8374;7.13
2022-05-27 04:40:00;Basamba\SWIFT 02_20220527_044000.wav;27;5;2022;4;40;0;352.51;0.7;0.86;0.45;1.0;539.44;0.02;11.67;0.8;0.01;[1.];8007;14.16
2022-05-27 04:40:00;Basamba\SWIFT17_20220527_044000.wav;27;5;2022;4;40;0;333.43;1.0;0.82;0.33;0.96;45.81;0.05;2.52;0.66;0.01;[1.];5719;8.35
2022-05-27 04:40:00;Basamba\SWIFT 03_20220527_044000.wav;27;5;2022;4;40;0;312.23;2.23;0.24;0.13;0.69;5.48;0.03;0.15;0.41;0.0;[1.];6020;13.51
2022-05-27 04:40:00;Basamba\SWIFT15_20220527_044000.wav;27;5;2022;4;40;0;348.97;0.98;0.82;0.76;0.99;231.15;0.32;73.31;0.78;0.02;[1.];5879;9.15
2022-05-27 04:40:00;Basamba\SWIFT6_20220527_044000.wav;27;5;2022;4;40;0;311.97;0.38;0.9;0.12;0.92;24.58;0.02;0.46;0.46;0.01;[1.];7325;8.74
2022-05-27 04:40:00;Basamba\SWIFT11_20220527_044000.wav;27;5;2022;4;40;0;337.99;0.51;0.87;0.2;0.98;94.11;0.05;4.45;0.66;0.01;[1.];5464;8.63
2022-05-27 04:40:00;Basamba\SWIFT5_20220527_044000.wav;27;5;2022;4;40;0;306.97;2.25;0.16;0.09;0.92;23.67;0.01;0.34;0.45;0.01;[1.];5318;5.99
2022-05-27 04:40:00;Basamba\SWIFT20_20220527_044000.wav;27;5;2022;4;40;0;310.24;1.13;0.79;0.19;0.74;6.65;0.06;0.4;0.47;0.01;[1.];10045;7.68
2022-05-27 04:40:00;Basamba\SWIFT9_20220527_044000.wav;27;5;2022;4;40;0;332.14;0.43;0.88;0.29;0.99;154.77;0.06;10.04;0.8;0.02;[1.];5405;5.85
2022-05-27 04:40:00;Basamba\SWIFT12_20220527_044000.wav;27;5;2022;4;40;0;311.92;2.18;0.28;0.09;0.6;4.01;0.03;0.13;0.4;0.0;[1.];11829;7.25
2022-05-27 04:40:00;Basamba\SWIFT7_20220527_044000.wav;27;5;2022;4;40;0;304.84;1.85;0.57;0.2;0.76;7.48;0.06;0.47;0.56;0.01;[1.];7069;5.3
2022-05-27 04:40:00;Basamba\SWIFT8_20220527_044000.wav;27;5;2022;4;40;0;326.47;0.44;0.88;0.25;0.91;21.88;0.08;1.65;0.62;0.01;[1.];7272;8.12
2022-05-27 04:40:00;Basamba\SWIFT10_20220527_044000.wav;27;5;2022;4;40;0;329.84;0.59;0.87;0.31;0.97;76.75;0.03;2.63;0.69;0.01;[1.];5085;9.25
2022-05-27 04:40:00;Basamba\SWIFT1_20220527_044000.wav;27;5;2022;4;40;0;326.04;0.77;0.89;0.15;0.98;122.85;0.02;2.21;0.66;0.01;[1.];8932;8.95
2022-05-27 04:40:00;Basamba\SWIFT 16_20220527_044000.wav;27;5;2022;4;40;0;321.12;0.79;0.88;0.21;0.96;52.93;0.05;2.89;0.71;0.01;[1.];6472;13.15
2022-05-27 04:40:00;Basamba\SWIFT13_20220527_044000.wav;27;5;2022;4;40;0;316.07;0.61;0.9;0.16;0.94;35.08;0.04;1.47;0.62;0.01;[1.];5800;6.12
2022-05-27 04:40:00;Basamba\SWIFT 19_20220527_044000.wav;27;5;2022;4;40;0;329.26;0.98;0.8;0.15;0.96;44.87;0.01;0.67;0.49;0.01;[1.];9435;10.35
2022-05-27 04:40:00;Basamba\SWIFT14_20220527_044000.wav;27;5;2022;4;40;0;365.76;0.6;0.88;0.36;0.99;239.52;0.08;20.22;0.82;0.02;[1.];3949;8.62
2022-05-27 04:40:00;Basamba\SWIFT4_20220527_044000.wav;27;5;2022;4;40;0;309.0;0.57;0.92;0.27;0.94;34.76;0.04;1.32;0.63;0.01;[1.];4657;8.5
2022-05-27 06:40:00;Basamba\SWIFT17_20220527_064000.wav;27;5;2022;6;40;0;318.76;1.9;0.52;0.12;0.58;3.78;0.04;0.16;0.41;0.0;[1.];6538;13.39
2022-05-27 06:40:00;Basamba\SWIFT6_20220527_064000.wav;27;5;2022;6;40;0;313.47;1.89;0.53;0.13;0.76;7.32;0.02;0.15;0.39;0.0;[1.];11147;7.84
2022-05-27 06:40:00;Basamba\SWIFT15_20220527_064000.wav;27;5;2022;6;40;0;315.87;1.53;0.6;0.19;0.74;6.57;0.04;0.23;0.43;0.01;[1.];3642;9.45
2022-05-27 06:40:00;Basamba\SWIFT 19_20220527_064000.wav;27;5;2022;6;40;0;300.76;2.29;0.2;0.09;0.86;13.67;0.02;0.31;0.41;0.01;[1.];6077;7.32
2022-05-27 06:40:00;Basamba\SWIFT 03_20220527_064000.wav;27;5;2022;6;40;0;310.14;2.0;0.42;0.09;0.56;3.54;0.03;0.12;0.39;0.0;[1.];5912;7.79
2022-05-27 06:40:00;Basamba\SWIFT20_20220527_064000.wav;27;5;2022;6;40;0;302.19;1.86;0.5;0.12;0.57;3.66;0.06;0.2;0.41;0.01;[1.];3805;6.31
2022-05-27 06:40:00;Basamba\SWIFT11_20220527_064000.wav;27;5;2022;6;40;0;316.41;1.97;0.41;0.13;0.63;4.43;0.01;0.07;0.38;0.0;[1.];6417;4.94
2022-05-27 06:40:00;Basamba\SWIFT5_20220527_064000.wav;27;5;2022;6;40;0;305.94;2.2;0.28;0.09;0.77;7.87;0.02;0.15;0.4;0.0;[1.];8040;7.46
