Date;file;Day;Month;Year;Hour;Minute;Second;TFSD_avian;TFSD_human
2022-12-19 00:40:00;Basamba\SWIFT10_20221219_004000.wav;19;12;2022;0;40;0;0.53;0.11
2022-12-19 00:40:00;Basamba\SWIFT11_20221219_004000.wav;19;12;2022;0;40;0;0.42;0.47
2022-12-19 00:40:00;Basamba\SWIFT14_20221219_004000.wav;19;12;2022;0;40;0;0.52;0.14
2022-12-19 00:40:00;Basamba\SWIFT9_20221219_004000.wav;19;12;2022;0;40;0;0.48;0.26
2022-12-19 00:40:00;Basamba\SWIFT7_20221219_004000.wav;19;12;2022;0;40;0;0.41;0.44
2022-12-19 00:40:00;Basamba\SWIFT1_20221219_004000.wav;19;12;2022;0;40;0;0.33;0.55
2022-12-19 00:40:00;Basamba\SWIFT6_20221219_004000.wav;19;12;2022;0;40;0;0.31;0.58
2022-12-19 00:40:00;Basamba\SWIFT 16_20221219_004000.wav;19;12;2022;0;40;0;0.56;0.14
2022-12-19 00:40:00;Basamba\SWIFT20_20221219_004000.wav;19;12;2022;0;40;0;0.59;0.28
2022-12-19 00:40:00;Basamba\SWIFT 03_20221219_004000.wav;19;12;2022;0;40;0;0.45;0.34
2022-12-19 00:40:00;Basamba\SWIFT18_20221219_004000.wav;19;12;2022;0;40;0;0.33;0.46
2022-12-19 00:40:00;Basamba\SWIFT 02_20221219_004000.wav;19;12;2022;0;40;0;0.48;0.38
2022-12-19 00:40:00;Basamba\SWIFT15_20221219_004000.wav;19;12;2022;0;40;0;0.54;0.12
2022-12-19 00:40:00;Basamba\SWIFT5_20221219_004000.wav;19;12;2022;0;40;0;0.45;0.39
2022-12-19 00:40:00;Basamba\SWIFT17_20221219_004000.wav;19;12;2022;0;40;0;0.63;0.09
2022-12-19 00:40:00;Basamba\SWIFT 19_20221219_004000.wav;19;12;2022;0;40;0;0.32;0.54
2022-12-19 00:40:00;Basamba\SWIFT8_20221219_004000.wav;19;12;2022;0;40;0;0.72;0.12
2022-12-19 00:40:00;Basamba\SWIFT 12_20221219_004000.wav;19;12;2022;0;40;0;0.65;0.06
